Bregma	lam0.2	Centroid_X	Centroid_Y
0.26	2	-3063.764981	2832.2499
0.26	3	-3206.383632	3157.207248
0.26	2	-3204.466962	3022.343234
0.26	7	-3201.499632	3038.151163
0.26	7	-3199.017929	3107.885565
0.26	2	-3197.7733	2997.565187
0.26	9	-3191.749381	3165.447088
0.26	9	-3175.060684	3013.252077
0.26	7	-3174.760796	3083.439622
0.26	1	-3171.095958	3077.674629
0.26	3	-3167.489429	3109.496877
0.26	2	-3164.671297	3119.65095
0.26	2	-3164.09079	3166.173375
0.26	3	-3162.561724	3114.882793
0.26	2	-3149.251424	3081.68755
0.26	2	-3146.448572	3168.866651
0.26	7	-3140.589114	3109.700141
0.26	2	-3140.14463	3167.951942
0.26	3	-3133.816671	3032.588974
0.26	7	-3091.298446	3037.237534
0.26	3	-3083.19707	3152.39749
0.26	3	-3078.508621	3144.767519
0.26	7	-3056.705284	3160.86793
0.26	7	-3050.861317	2993.28472
0.26	3	-3042.035944	3081.097284
0.26	2	-3043.792736	3126.886824
0.26	6	-3035.428459	3178.007047
0.26	2	-3027.592866	3043.774412
0.26	6	-3026.825178	3084.237675
0.26	2	-3186.833559	3049.380054
0.26	9	-3113.392263	3082.777368
0.26	7	-3104.772329	3009.262391
0.26	2	-3092.046351	3011.876747
0.26	11	-3074.552998	3174.436098
0.26	2	-3068.306122	2996.51072
0.26	2	-3067.9878	3070.144726
0.26	2	-3058.85449	3148.842818
0.26	2	-3030.309531	3103.720682
0.26	2	-3207.492989	3077.257326
0.26	7	-3144.530298	3134.268084
0.26	7	-3094.168037	3177.71164
0.26	2	-3091.240834	3141.536153
0.26	2	-3206.317475	3118.353016
0.26	6	-3203.647062	3115.009765
0.26	2	-3120.083658	3000.926994
0.26	1	-3083.235573	3178.587706
0.26	2	-3042.899332	3107.809006
0.26	7	-3038.178771	3103.195205
0.26	7	-3207.825836	3263.368709
0.26	2	-3202.079284	3225.692462
0.26	2	-3196.696998	3205.296593
0.26	2	-3187.565186	3337.716274
0.26	6	-3179.17201	3285.795542
0.26	2	-3179.483426	3255.201227
0.26	7	-3174.758483	3368.992817
0.26	2	-3163.59983	3312.902818
0.26	2	-3165.486843	3235.895353
0.26	7	-3160.640052	3223.416608
0.26	7	-3161.067111	3255.979298
0.26	2	-3154.313459	3303.354227
0.26	6	-3154.153115	3356.127867
0.26	6	-3135.823097	3228.352574
0.26	9	-3132.998193	3340.46621
0.26	2	-3132.101621	3317.414215
0.26	2	-3129.894325	3251.52403
0.26	13	-3125.585877	3364.603372
0.26	7	-3126.507962	3299.055514
0.26	7	-3125.392858	3321.420954
0.26	7	-3122.935253	3375.182315
0.26	2	-3124.93357	3292.326403
0.26	2	-3121.594212	3312.172929
0.26	3	-3119.572234	3217.24733
0.26	3	-3117.371293	3336.609315
0.26	7	-3093.933528	3247.084339
0.26	6	-3091.555985	3334.273878
0.26	2	-3085.293846	3361.285645
0.26	3	-3080.534906	3380.742681
0.26	2	-3075.820877	3318.952448
0.26	6	-3072.355109	3197.277548
0.26	9	-3068.035819	3355.096652
0.26	1	-3059.205247	3328.323216
0.26	2	-3054.468548	3378.335941
0.26	3	-3047.038249	3262.797342
0.26	3	-3036.916011	3312.439027
0.26	2	-3033.439786	3373.906434
0.26	9	-3031.256334	3269.397084
0.26	2	-3206.706125	3302.96244
0.26	13	-3200.947242	3324.164982
0.26	2	-3179.196782	3195.359147
0.26	3	-3124.924935	3273.163387
0.26	2	-3102.665374	3224.259818
0.26	7	-3069.911633	3378.022213
0.26	7	-3053.376995	3241.294403
0.26	2	-3198.87985	3279.827147
0.26	2	-3188.650074	3323.935268
0.26	7	-3102.467534	3367.104704
0.26	2	-3088.168402	3269.705279
0.26	2	-3043.531159	3203.254461
0.26	6	-3034.276691	3341.571892
0.26	2	-3112.158427	3232.721529
0.26	2	-3179.399809	3351.121313
0.26	2	-3137.750234	3286.273876
0.26	2	-3100.216417	3351.102616
0.26	2	-3080.144006	3259.089791
0.26	2	-3207.774463	3539.349898
0.26	7	-3204.346434	3488.487611
0.26	2	-3204.231883	3476.96519
0.26	2	-3189.263683	3430.264608
0.26	2	-3183.037733	3484.319367
0.26	2	-3174.62523	3552.583692
0.26	1	-3176.757289	3579.466723
0.26	2	-3171.734433	3409.430746
0.26	2	-3167.260213	3570.522943
0.26	6	-3153.682999	3527.151851
0.26	3	-3152.86459	3579.9651
0.26	4	-3146.744199	3512.035432
0.26	3	-3143.556225	3471.716058
0.26	2	-3139.791922	3555.664452
0.26	7	-3126.682496	3469.476065
0.26	2	-3124.728736	3502.854665
0.26	4	-3124.553206	3560.899901
0.26	3	-3123.987844	3442.678746
0.26	6	-3123.092106	3494.676008
0.26	9	-3121.733052	3572.942247
0.26	1	-3117.805499	3432.190363
0.26	6	-3116.846718	3465.289173
0.26	6	-3113.145562	3534.353397
0.26	6	-3104.992838	3484.972984
